area_code,measure_a,measure_b
E02000668,75.6,17.37796142
E02000669,69.5,24.5318938
E02000670,61.9,34.12369769
E02000671,75.1,20.80914529
E02000672,66.9,33.70041021
E02000673,77,15.8290654
E02000674,69.3,21.288556
E02000675,72,19.71985426
E02000676,74,20.79734012
E02000677,67.8,22.7432338
E02000678,65.9,31.29934558
E02000679,71.7,26.11032892
E02000680,71,26.32857105
E02000681,65,34.67987833
E02000682,64.5,31.32062324
E02000683,65,32.89828743
E02000685,70,27.24234835
E02000686,62.1,39.94807595
E02000687,71.4,25.49714093
E02000689,76.8,9.18724208
E02000690,74.8,6.785943008
E02000691,74,9.183412503
E02000692,70.6,5.56483868
E02000693,68.6,12.83311361
E02000694,73.3,10.67231487
E02000695,64.8,14.05193352
E02000696,64.5,18.15923096
E02000697,75.3,6.867456892
E02000698,76.3,5.883827333
E02000699,77.4,6.30793587
E02000700,65.6,23.03602494
E02000701,66,21.03585496
E02000702,66.1,24.3327172
E02000703,80,7.517969577
E02000704,72.5,13.75204277
E02000705,65.9,15.40453576
E02000706,65.2,27.77998413
E02000707,63.7,26.48113163
E02000708,76.1,8.284308997
E02000709,80.7,7.481353009
E02000710,71.6,22.27125362
E02000711,68.5,22.92540486
E02000712,73.5,22.80065715
E02000713,81,9.228112402
E02000714,61.6,27.65861142
E02000715,64,31.15550542
E02000716,62.6,30.45154743
E02000717,64.1,29.73585432
E02000718,63.6,34.01824165
E02000719,57.4,27.79439585
E02000720,63.2,25.12422434
E02000721,60.7,33.37428217
E02000722,56,27.69799892
E02000723,61.2,25.03543238
E02000724,61.9,27.70225367
E02000725,58.2,30.49649914
E02000726,67,27.45916569
E02000727,61.7,27.19760085
E02000728,61.3,25.8413141
E02000729,59.3,26.25998717
E02000730,60.8,27.07300501
E02000731,61.9,29.36412137
E02000732,66.6,33.48235875
E02000733,57.7,29.70705885
E02000734,61.2,29.24225695
E02000735,62.1,30.68628029
E02000736,62.8,32.12584119
E02000737,65.3,28.03085651
E02000738,64.1,22.98036542
E02000739,58.8,28.75636445
E02000740,60.6,32.49887482
E02000741,62.5,28.58458875
E02000742,61.1,31.15196407
E02000743,61.4,38.294951
E02000744,59.3,35.41070296
E02000745,57.9,30.54680931
E02000746,59.7,32.28701402
E02000747,65,32.73259179
E02000748,51.9,26.13575204
E02000749,59.6,40.51207333
E02000750,66.3,22.49670557
E02000751,83.8,7.202862998
E02000752,68.3,28.57728498
E02000753,67.3,23.51056933
E02000754,74.7,14.50568651
E02000755,74.3,16.18405319
E02000756,70.4,16.16076466
E02000757,78.8,9.42959849
E02000758,77.2,16.23159514
E02000759,74.1,15.52582551
E02000760,72.1,19.82641321
E02000762,77.1,10.21119958
E02000763,72.6,17.38797244
E02000764,81.5,11.06974374
E02000765,70.7,12.9965768
E02000767,71,15.67071239
E02000768,82.6,9.023436526
E02000769,69.7,16.92342864
E02000770,72.3,15.91164339
E02000772,67.7,18.02358639
E02000773,70.8,16.50937646
E02000774,66.8,22.11288409
E02000776,67.8,17.05742362
E02000777,79.1,17.29895244
E02000779,59.1,26.40787151
E02000780,60.3,23.34816138
E02000781,69.5,16.98221562
E02000782,60.6,28.46485559
E02000783,59.8,27.66082451
E02000784,74,9.805824894
E02000785,79.3,6.926790247
E02000786,74.3,9.700054976
E02000787,74.4,13.6120628
E02000788,79.4,6.50108498
E02000789,76.3,9.629095117
E02000790,80.6,5.384548027
E02000791,67.9,5.957178857
E02000792,77,5.734242241
E02000793,80.5,11.20644157
E02000794,81.6,7.141383602
E02000795,79.6,8.906516199
E02000796,78.8,16.4039166
E02000797,78.5,6.688603791
E02000798,80.5,10.26773426
E02000799,78.6,5.548346014
E02000800,77,15.60235891
E02000801,84.4,5.662386749
E02000802,84.3,7.598219675
E02000803,80.1,17.43955728
E02000804,83.5,6.896205581
E02000805,79.6,8.833813537
E02000806,84.6,8.497609412
E02000807,70.7,13.79343861
E02000808,62,19.593476
E02000809,69.1,15.79987096
E02000810,68.6,26.14106591
E02000812,63.3,27.73977854
E02000813,67.1,27.19934772
E02000814,65.7,20.19726152
E02000815,65.9,26.75764315
E02000816,67.1,28.85131912
E02000817,68.3,34.55739055
E02000818,67,34.45533229
E02000819,66.3,31.00217934
E02000820,63.3,27.40824323
E02000821,59,39.2690625
E02000822,62,33.17434969
E02000823,65.7,28.6145445
E02000824,60.9,31.90757239
E02000825,61.5,33.3012231
E02000826,65.5,29.95523408
E02000827,66.4,31.28189963
E02000828,63.3,35.42614428
E02000829,66.9,34.77146236
E02000830,72.5,20.01590472
E02000831,70.6,24.73823731
E02000832,67.4,30.13412445
E02000833,68.5,19.44935497
E02000834,78.1,18.20127548
E02000835,75.1,20.37527636
E02000836,78.8,14.23300416
E02000837,84.2,9.928760902
E02000838,74.9,17.23100538
E02000839,73.2,20.29518723
E02000840,73.9,31.98473906
E02000841,73.4,28.1525425
E02000842,82.9,9.867797972
E02000843,80.1,15.41885438
E02000844,78,20.51463272
E02000845,79.8,9.770362893
E02000846,81.6,10.87425287
E02000847,85.3,6.876810782
E02000848,85,7.747291522
E02000849,82.3,12.79201332
E02000850,83.1,12.18067204
E02000851,72.6,21.22601052
E02000852,80.9,9.235949022
E02000853,81,13.56951111
E02000854,84.7,9.897086064
E02000855,87.4,6.350149707
E02000856,81.3,11.83447898
E02000857,76.2,10.29694944
E02000858,72.6,32.31579896
E02000859,84.5,11.74606209
E02000860,75.9,19.69012822
E02000861,88,5.020283266
E02000863,84.4,10.86407545
E02000864,71.3,33.5666926
E02000865,68.6,33.66083822
E02000866,72.4,25.29098272
E02000867,69.7,25.02429421
E02000868,71,28.85113913
E02000869,71.1,33.03527818
E02000870,69.8,29.58680417
E02000871,66.5,33.78368505
E02000872,69.5,30.51431002
E02000873,56.9,26.84948082
E02000874,65.4,33.36954522
E02000875,68.8,31.35519628
E02000876,64,33.78064609
E02000877,68.4,31.26856565
E02000878,58.6,30.51716821
E02000879,69.6,30.615297
E02000880,68.1,30.80582604
E02000881,69.1,39.50274349
E02000882,70.9,35.63656744
E02000883,66.7,40.40641134
E02000884,63.9,24.32861698
E02000885,68.9,36.60490047
E02000886,71.3,25.34613525
E02000887,67.8,32.65090943
E02000888,68.4,23.27310841
E02000889,70.8,21.14019898
E02000890,75.1,9.30465835
E02000891,67.7,19.25768641
E02000893,67.6,20.85948216
E02000894,67.6,13.13253453
E02000895,73.4,23.4748713
E02000896,78.7,14.95624986
E02000897,73.2,28.00218843
E02000898,75.5,24.39077144
E02000899,70.7,20.38614203
E02000900,65.4,27.38653811
E02000901,80.6,15.18197994
E02000902,69.7,24.62900366
E02000903,65,35.59168159
E02000904,67.2,20.25292515
E02000905,66.7,21.85160201
E02000906,66.1,24.49563477
E02000907,64.2,36.86957261
E02000908,66.8,22.12619997
E02000909,72.9,20.60535833
E02000910,68.3,24.58240699
E02000911,66.5,29.24512255
E02000912,65.8,28.83343936
E02000913,64.4,24.06185982
E02000914,59,35.18019383
E02000915,66.6,21.75980552
E02000916,62.5,27.13461875
E02000917,61.5,19.80860247
E02000918,64.4,26.85788474
E02000919,61.2,21.24470242
E02000920,60.6,27.82377288
E02000921,57.7,30.60685002
E02000922,58.6,23.84354484
E02000923,69.4,12.64306569
E02000924,64.9,26.94160563
E02000925,64.2,26.59996295
E02000926,69.1,15.82190337
E02000927,70.9,22.18776024
E02000928,73.6,9.812317584
E02000929,61.9,33.28118283
E02000930,66.4,14.54632758
E02000931,73.9,7.606388871
E02000932,69.9,11.19879895
E02000933,70,10.54486037
E02000934,70.4,12.08771491
E02000935,57.7,28.71294442
E02000936,63.9,12.45230757
E02000937,77.6,9.173110167
E02000938,64.5,22.71332051
E02000939,81.6,7.413664436
